@relation '51java-nominal-csv (6)-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute joblocation_num {'First-tier city','Other First-tier city','Second-tier city','Third-tier city'}
@attribute Internship {No,Yes}
@attribute education {Bachelor,'College degree','Not Required',Master}
@attribute experience {'2 years','3 years','5 years','1 year','no experience','Not Required','8 years','Fresh graduate','4 years','7 years','over 10 years','6 years'}
@attribute Average_salary {medium,low}
@attribute company_style {State-owned,Listed,Private-owned,'Foreign (except EU & US)','Joint venture',New,'Foreign(EU & US)',Institution,Non-profit}
@attribute company_scale {1000-5000,500-1000,'Less than 50',150-500,50-150,'Over 10k',5000-10000}
@attribute job_industry {'Communications/Telecommunications/Network equipment','Computer services','Computer Software/Hardware','Professional service',E-commerce,'Medical/Biological Engineering',Others,Gaming,Service,'Engineering/Electronic technology',Finance,Equipment,Education}
@attribute job_classification {'System architect','Software Engineer','Internet Software Development Engineer','Java Developer','Web front-end development','Senior software engineer',Others,Manager,ERP,'Technical support/maintenance engineer'}

@data
'Other First-tier city',No,Bachelor,'1 year',medium,Private-owned,'Less than 50','Engineering/Electronic technology','Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,150-500,'Engineering/Electronic technology','Java Developer'
'First-tier city',No,'College degree','3 years',medium,Private-owned,150-500,E-commerce,'Software Engineer'
'First-tier city',No,Bachelor,'2 years',medium,State-owned,50-150,Others,'Internet Software Development Engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Engineering/Electronic technology','Senior software engineer'
'Other First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,E-commerce,'Internet Software Development Engineer'
'Other First-tier city',No,'Not Required','3 years',medium,State-owned,150-500,Equipment,'Senior software engineer'
'Other First-tier city',No,'College degree','2 years',medium,Private-owned,50-150,'Computer services','Senior software engineer'
'First-tier city',No,'College degree','3 years',medium,Private-owned,'Less than 50','Computer services','Senior software engineer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Computer Software/Hardware','Java Developer'
'First-tier city',No,Bachelor,'3 years',medium,Private-owned,50-150,'Computer services','Java Developer'
'Second-tier city',No,Bachelor,'1 year',medium,Private-owned,500-1000,Service,'Software Engineer'
